index	video_path	video	question_id	question	answer	options	correct_answer_index	category
0620	colleague/video_139.mp4	colleague/video_139	0620-3	What is the immediate next action the individuals are likely to perform?	They will start planning their upcoming vacation.	A. They will decide on a new restaurant to try., B. They will start planning their upcoming vacation., C. They will watch a movie together later., D. They will go for a walk in the park., E. They will continue to discuss the topic of coffee.	B	Action Recognition
0621	colleague/video_135.mp4	colleague/video_135	0621-1	Why might the individuals be arguing about who has the floor in their conversation?	They have difficulty with equal distribution of speaking time.	A. They are exploring different topics of discussion., B. They have varying opinions on the subject matter., C. They are trying to summarize prior discussions., D. They are competing for attention from others nearby., E. They have difficulty with equal distribution of speaking time.	E	Intent Inference
0621	colleague/video_135.mp4	colleague/video_135	0621-2	What will likely happen after this interaction?	The argument will escalate or subside.	A. A resolution will be reached amicably., B. The participants will decide to ignore each other., C. New friendships will emerge from the discussion., D. The argument will escalate or subside., E. The issue will be forgotten shortly after.	D	Action Recognition
0621	colleague/video_135.mp4	colleague/video_135	0621-3	What do you think their next conversation will be like?	They will both express some emotions or argue, and it won't solve the work issues.	A. They will come to a mutual understanding and resolve their differences., B. They will discuss the work issues calmly and find a solution., C. They will both express some emotions or argue, and it won't solve the work issues., D. They will agree to disagree and move on without conflict., E. They will avoid the topic entirely and talk about something else.	C	Factual Prediction
0621	colleague/video_135.mp4	colleague/video_135	0621-4	How would you describe the tone of voice used by the man while saying, 'You got the floor'?	Annoyed	A. Cheerful, B. Indifferent, C. Sarcastic, D. Annoyed, E. Excited	D	Counterfactual Prediction
0621	colleague/video_135.mp4	colleague/video_135	0621-5	What is the body language of the woman when the man says, 'You got the floor'?	Aggressive	A. Aggressive, B. Inviting, C. Confident, D. Defensive, E. Indifferent	A	Factual Prediction
0623	colleague/video_143.mp4	colleague/video_143	0623-1	If the first two people were close friends, how would the interaction be different?	It would be calmer and more understanding.	A. It would be calmer and more understanding., B. It would be more tense and competitive., C. It would likely involve a lot of disagreements., D. It would seem more formal and distant., E. It would probably be loud and chaotic.	A	Counterfactual Prediction
0624	colleague/video_161.mp4	colleague/video_161	0624-1	Why does one of the men hold his hand up when the camera focuses on him?	He does not want to be filmed.	A. He is trying to signal to someone nearby., B. He needs to block the sun from his eyes., C. He is showing excitement about an upcoming event., D. He wants to grab the attention of the camera operator., E. He does not want to be filmed.	E	Intent Inference
0624	colleague/video_161.mp4	colleague/video_161	0624-2	What is the daily atmosphere like in this work team? Is it inclusive?	People work diligently, while others relax; overall, it is very harmonious.	A. The atmosphere is tense and competitive., B. Everyone works independently and there is little interaction., C. There is a mix of serious and casual attitudes but lacks collaboration., D. People are often stressed and overwhelmed with work., E. People work diligently, while others relax; overall, it is very harmonious.	E	Factual Prediction
0624	colleague/video_161.mp4	colleague/video_161	0624-3	Do people prefer women to have long nails?	Most people do not like to see women with long nails, as it affects both work and daily life.	A. Most people do not like to see women with long nails, as it affects both work and daily life., B. Many people find long nails appealing and stylish., C. Women with long nails tend to receive more compliments., D. Long nails are often associated with elegance and beauty., E. Some people consider long nails to be fashionable and unique.	A	Attitude Inference
0624	colleague/video_161.mp4	colleague/video_161	0624-4	Why is the laptop lagging?	MS Excel program is running.	A. The Wi-Fi connection is unstable., B. The battery is running low., C. MS Excel program is running., D. There are too many browser tabs open., E. The laptop is outdated and needs an upgrade.	C	Intent Inference
0624	colleague/video_161.mp4	colleague/video_161	0624-5	What would happen if the woman who types with long nails didn't?	Her work could be completed more slowly.	A. Her work could be completed more slowly., B. Typing would be easier., C. She might need to change her keyboard., D. People would notice her different typing style., E. She would likely enjoy typing more.	A	Counterfactual Prediction
0624	colleague/video_161.mp4	colleague/video_161	0624-6	Which kind of relationship plays a dominant role in this video?	colleague	A. transactional, B. teacher-student, C. colleagues, D. couple, E. grandparent-child, F. sports teammates, G. colleague, H. sibling, I. friends, J. parent-child, K. caregiver-recipient, L. service, M. coach-player, N. boss-employee	G	Relation Inference
0625	colleague/video_241.mp4	colleague/video_241	0625-1	Why might someone choose to use sound-absorbing desk dividers instead of cubicles?	To create privacy without fully isolating individuals.	A. To enhance the overall aesthetic of the workspace., B. To encourage more collaboration among team members., C. To create privacy without fully isolating individuals., D. To reduce overall office costs significantly., E. To improve lighting conditions throughout the office.	C	Intent Inference
0625	colleague/video_241.mp4	colleague/video_241	0625-2	What will the person do after placing the desk divider?	Organize the desk.	A. Take a break., B. Change the lighting., C. Order new supplies., D. Organize the desk., E. Schedule a meeting.	D	Emotion Inference
0625	colleague/video_241.mp4	colleague/video_241	0625-3	Does the design of this wall affect people's mood?	Yes, it does.	A. No, it has no effect., B. Yes, it does., C. It depends on the color of the wall., D. Only in commercial spaces., E. People are generally indifferent to wall designs.	B	Factual Prediction
0625	colleague/video_241.mp4	colleague/video_241	0625-4	Do staff members add partitions to have an independent space?	That could be the case.	A. They often remove partitions., B. They prefer open spaces instead., C. They do not consider independence necessary., D. That could be the case., E. They use furniture to create separation.	D	Environment Perception
0625	colleague/video_241.mp4	colleague/video_241	0625-5	If the workspace was a shared home office, how might the impact of adding desk dividers differ?	It could result in improved focus and productivity.	A. It might encourage more collaboration among coworkers., B. It could lead to feelings of isolation., C. It could result in improved focus and productivity., D. It may enhance the overall aesthetic of the office space., E. It might increase the noise levels in the workspace.	C	Factual Prediction
0625	colleague/video_241.mp4	colleague/video_241	0625-6	What aesthetic style appears to be represented by the wall decor?	Bohemian	A. Minimalist, B. Retro., C. Industrial, D. Futuristic, E. Bohemian	E	Factual Prediction
0625	colleague/video_241.mp4	colleague/video_241	0625-7	Which kind of relationship plays a dominant role in this video?	colleague	A. parent-child, B. service, C. transactional, D. coach-player, E. colleagues, F. caregiver-recipient, G. boss-employee, H. colleague, I. friends, J. classmates, K. sports teammates, L. teacher-student, M. grandparent-child, N. sibling	H	Relation Inference
0626	colleague/video_205.mp4	colleague/video_205	0626-1	Why the man with the blue shirt say 'Why do you talk to me like that?'	Because he feels disrespected by the aggressive tone.	A. Because he enjoys having deep conversations., B. Because he feels disrespected by the aggressive tone., C. Because he wants to change the subject entirely., D. Because he is confused about the topic of discussion., E. Because he thinks it's a joke and is playing along.	B	Intent Inference
0626	colleague/video_205.mp4	colleague/video_205	0626-2	What is likely to happen next in the interaction?	The argument will escalate.	A. They will start laughing together., B. A peaceful resolution will be reached., C. They will agree to disagree., D. The conversation will shift to a different topic., E. The argument will escalate.	E	Action Recognition
0626	colleague/video_205.mp4	colleague/video_205	0626-3	Which kind of relationship plays a dominant role in this video?	colleague	A. boss-employee, B. friends, C. parent-child, D. transactional, E. service, F. classmates, G. colleagues, H. sibling, I. sports teammates, J. teacher-student, K. couple, L. grandparent-child, M. colleague, N. caregiver-recipient	M	Relation Inference
0627	colleague/video_55.mp4	colleague/video_55	0627-1	Is the comfort from a stranger important?	It can be effective but not necessarily important.	A. It is always important., B. It can be effective but not necessarily important., C. It has no effect at all., D. It is usually the most important source of comfort., E. It is only important in certain situations.	B	Attitude Inference
0627	colleague/video_55.mp4	colleague/video_55	0627-2	What does the cameraman do when he approaches the crying woman?	He tries to comfort her.	A. He disregards her feelings., B. He tries to comfort her., C. He turns away and leaves., D. He starts filming her reaction., E. He asks her to explain her situation.	B	Factual Prediction
0627	colleague/video_55.mp4	colleague/video_55	0627-3	How would the cameraman's reaction differ if they disliked the woman?	The cameraman would likely have remained silent or continued filming without intervention.	A. The cameraman might have laughed at her antics instead of taking them seriously., B. The cameraman would likely have remained silent or continued filming without intervention., C. The cameraman could have expressed his disdain openly by making derogatory comments., D. The cameraman would probably have focused on other subjects, ignoring her entirely., E. The cameraman might have chosen to confront her about her behavior during the filming.	B	Counterfactual Prediction
0628	colleague/video_6.mp4	colleague/video_6	0628-1	How would the video's presentation change if the office setting were portrayed as highly stressful?	The video would show stress and anxiety.	A. The video would feature a calm and serene atmosphere., B. The video would show stress and anxiety., C. The video would highlight teamwork and collaboration., D. The video would focus on creative problem-solving techniques., E. The video would emphasize the importance of work-life balance.	B	Counterfactual Prediction
0628	colleague/video_6.mp4	colleague/video_6	0628-2	Have you ever become a workaholic for a specific person or cause?	Yes or no.	A. I work hard for the team., B. Yes or no., C. I prioritize my personal projects., D. I mostly maintain a work-life balance., E. I avoid excessive work for others.	B	Factual Prediction
0628	colleague/video_6.mp4	colleague/video_6	0628-3	Why are some parts of the video presented in black and white?	To emphasize the emotional tone of the scene.	A. To depict a historical setting., B. To emphasize the emotional tone of the scene., C. To draw attention to specific characters., D. To showcase different time periods in the narrative., E. To create a sense of nostalgia for the audience.	B	Intent Inference
0629	colleague/video_33.mp4	colleague/video_33	0629-1	Why does the person advise against being dismissive when direct reports are arguing?	Being dismissive is unlikely to resolve the situation and can escalate conflict.	A. Ignoring the disagreement may allow time for emotions to settle down., B. Encouraging open discussion can foster stronger team relationships., C. Being dismissive is unlikely to resolve the situation and can escalate conflict., D. Taking a side can sometimes provide clarity and direction., E. Setting clear boundaries can prevent future conflicts from arising.	C	Intent Inference
0629	colleague/video_33.mp4	colleague/video_33	0629-2	As a leader, how should one resolve disputes among subordinates?	Support and set clear expectations.	A. Ignore the disputes and let them resolve themselves., B. Take sides and favor one party over the other., C. Conduct a team-building exercise to improve relationships., D. Support and set clear expectations., E. Ask each party to handle their own issues individually.	D	Factual Prediction
0629	colleague/video_33.mp4	colleague/video_33	0629-3	Why does the person ask about previous conversations the complainer has had with the report?	To encourage the complainer to resolve the issue themselves.	A. To gather more information about the complaint., B. To explain the company's policies in detail., C. To dismiss the complainer's concerns outright., D. To schedule a follow-up meeting with the management., E. To encourage the complainer to resolve the issue themselves.	E	Intent Inference
0629	colleague/video_33.mp4	colleague/video_33	0629-4	If the person speaking were known for being easily angered, how would her approach change?	Her approach could be more confrontational and less supportive.	A. Her approach could be more confrontational and less supportive., B. Her approach might become more withdrawn and less engaging., C. Her approach could be overly accommodating and excessively polite., D. Her approach may shift to being more analytical and less emotional., E. Her approach could involve more humor and lightheartedness.	A	Counterfactual Prediction
0629	colleague/video_33.mp4	colleague/video_33	0629-5	Which kind of relationship plays a dominant role in this video?	colleague	A. friends, B. parent-child, C. grandparent-child, D. classmates, E. boss-employee, F. sports teammates, G. colleagues, H. teacher-student, I. caregiver-recipient, J. couple, K. sibling, L. colleague, M. service, N. transactional	L	Relation Inference
0630	colleague/video_13.mp4	colleague/video_13	0630-1	Why does the man with the curly hair appear angry in reaction to the words being said?	He disagrees with the statement and finds it repulsive.	A. He is surprised by the unexpected news., B. He disagrees with the statement and finds it repulsive., C. He is amused by the humor in the conversation., D. He feels sympathy for the person speaking., E. He is distracted by a noise outside the room.	B	Intent Inference
0630	colleague/video_13.mp4	colleague/video_13	0630-2	If the woman in red had a weaker relationship with the man in the suit, how might her statement change?	She might be more polite and less extreme.	A. She might be more assertive and demanding., B. She might completely ignore his opinions., C. She might be more polite and less extreme., D. She might express her frustrations more openly., E. She might choose to remain silent altogether.	C	Environment Perception
0630	colleague/video_13.mp4	colleague/video_13	0630-3	What will they do next?	They probably won't continue arguing.	A. They will start a new argument., B. They might agree with each other., C. They probably won't continue arguing., D. They will walk away silently., E. They are likely to shout louder.	C	Factual Prediction
0630	colleague/video_13.mp4	colleague/video_13	0630-4	What emotion is the man with curly hair expressing?	Intense anger.	A. Intense anger., B. Overwhelming joy., C. Deep sadness., D. Complete indifference., E. Extreme surprise.	A	Emotion Inference
0631	colleague/video_14.mp4	colleague/video_14	0631-1	How might the initial conflict resolution approach change if the colleagues had a long-standing personal friendship?	It would be less formal.	A. It could become more aggressive., B. It might involve a mediation process., C. It may require written documentation., D. It would likely need a supervisor's approval., E. It would be less formal.	E	Emotion Inference
0632	colleague/video_62.mp4	colleague/video_62	0632-1	How would the interaction change if the person was supportive?	Team members would feel more comfortable asking for help.	A. Team members would likely become less engaged in discussions., B. Team members might feel pressure to perform at a higher level., C. Team members would start to work more independently and avoid collaboration., D. Team members may express frustration and confusion about their roles., E. Team members would feel more comfortable asking for help.	E	Counterfactual Prediction
0632	colleague/video_62.mp4	colleague/video_62	0632-2	Where was the video filmed?	In the office.	A. In a park., B. At a hotel., C. On the street., D. In the office., E. In a classroom.	D	Environment Perception
0632	colleague/video_62.mp4	colleague/video_62	0632-3	What is the person's attitude towards their team?	Critical and demanding.	A. Critical and demanding., B. Supportive and enthusiastic., C. Unhelpful and indifferent., D. Indifferent and dismissive., E. Encouraging and collaborative.	A	Factual Prediction
0632	colleague/video_62.mp4	colleague/video_62	0632-4	Which kind of relationship plays a dominant role in this video?	colleague	A. service, B. colleague, C. classmates, D. couple, E. sports teammates, F. sibling, G. parent-child, H. caregiver-recipient, I. transactional, J. boss-employee, K. friends, L. coach-player, M. colleagues, N. grandparent-child	B	Relation Inference
0633	colleague/video_65.mp4	colleague/video_65	0633-1	What will likely happen after he says 'Come on!'?	The conflict will escalate, or his pleas will be ignored.	A. They will laugh and walk away., B. Everyone will cheer and join him., C. He will suddenly change the topic., D. The atmosphere will become more relaxed., E. The conflict will escalate, or his pleas will be ignored.	E	Factual Prediction
0634	colleague/video_70.mp4	colleague/video_70	0634-1	Which kind of relationship plays a dominant role in this video?	colleague	A. colleague, B. couple, C. friends, D. sports teammates, E. service, F. grandparent-child, G. boss-employee, H. colleagues, I. teacher-student, J. sibling, K. classmates, L. parent-child, M. transactional, N. coach-player	A	Relation Inference
0635	colleague/video_75.mp4	colleague/video_75	0635-1	Why are the two people arguing in the video?	They have different interpretations of a previous conversation.	A. They are discussing their favorite movies., B. One person is trying to change the subject., C. They are planning a surprise party for a friend., D. They are debating the best vacation destination., E. They have different interpretations of a previous conversation.	E	Intent Inference
0636	colleague/video_76.mp4	colleague/video_76	0636-1	What will the man's reaction be when he finds out about the resignation?	Surprise.	A. Indifference., B. Surprise., C. Anger., D. Joy., E. Disappointment.	B	Action Recognition
0636	colleague/video_76.mp4	colleague/video_76	0636-2	How would the man's reaction be different if the woman was his close friend?	He would be more sympathetic.	A. He would be indifferent., B. He would be more sympathetic., C. He would be confrontational., D. He would feel relieved., E. He would take it lightly.	B	Counterfactual Prediction
0636	colleague/video_76.mp4	colleague/video_76	0636-3	What happened between them?	There was a conflict.	A. They became friends., B. There was a conflict., C. They went on a trip together., D. They started a business partnership., E. They had a misunderstanding.	B	Attitude Inference
0636	colleague/video_76.mp4	colleague/video_76	0636-4	What document did the woman sign?	Resignation letter	A. Employment contract, B. Loan agreement, C. Resignation letter, D. Rental contract, E. Performance review	C	Emotion Inference
0636	colleague/video_76.mp4	colleague/video_76	0636-5	What is the emotional tone of the woman after the man throws the papers?	Furious.	A. Disappointed., B. Apathetic., C. Embarrassed., D. Furious., E. Defiant.	D	Emotion Inference
0636	colleague/video_76.mp4	colleague/video_76	0636-6	What written text is visible when the woman is at her desk?	A sign reading 'Đơn xin nghỉ việc'.	A. A sign reading 'Đơn xin nghỉ việc'., B. A report on sales figures, C. A calendar with notes on it, D. A letter addressed to a client, E. A menu from a local restaurant	A	Emotion Inference
0636	colleague/video_76.mp4	colleague/video_76	0636-7	Why does the man yell at the woman?	Because he thinks she made a mistake in her report.	A. Because he wants her to leave the room., B. Because he is unhappy with her performance., C. Because he believes she broke something valuable., D. Because he is trying to get her attention quickly., E. Because he thinks she made a mistake in her report.	E	Intent Inference
0636	colleague/video_76.mp4	colleague/video_76	0636-8	Which kind of relationship plays a dominant role in this video?	colleague	A. teacher-student, B. couple, C. classmates, D. coach-player, E. boss-employee, F. service, G. colleague, H. sibling, I. caregiver-recipient, J. parent-child, K. colleagues, L. sports teammates, M. friends, N. transactional	G	Relation Inference
0637	colleague/video_163.mp4	colleague/video_163	0637-1	Why are people stopping what they are doing and looking towards the commotion?	To find out the subject of conflict.	A. To enjoy the beautiful weather., B. To check their phones for notifications., C. To find out the subject of conflict., D. To participate in a nearby celebration., E. To take a moment for reflection and quiet.	C	Intent Inference
0638	colleague/video_164.mp4	colleague/video_164	0638-1	Why do the employees engage in the office football game?	To relieve boredom and have fun.	A. To relieve boredom and have fun., B. To improve their physical fitness., C. To compete for a cash prize., D. To practice team-building skills., E. To participate in a company-wide tournament.	A	Intent Inference
0638	colleague/video_164.mp4	colleague/video_164	0638-2	Which kind of relationship plays a dominant role in this video?	colleague	A. sibling, B. friends, C. service, D. coach-player, E. teacher-student, F. caregiver-recipient, G. boss-employee, H. grandparent-child, I. colleague, J. colleagues, K. classmates, L. sports teammates, M. parent-child, N. couple	I	Relation Inference
0639	colleague/video_170.mp4	colleague/video_170	0639-1	What will happen after the conversation shown in the video ends?	The employee will receive a formal warning.	A. The employee will receive a formal warning., B. The employee will be praised for their efforts., C. The employee will be promoted to a higher position., D. The employee will be offered a salary increase., E. The employee will be invited to a company retreat.	A	Factual Prediction
0639	colleague/video_170.mp4	colleague/video_170	0639-2	What is the employee's expression when hearing the recorded call?	Embarrassed	A. Happy, B. Indifferent, C. Embarrassed, D. Annoyed, E. Confused	C	Counterfactual Prediction
0639	colleague/video_170.mp4	colleague/video_170	0639-3	What facial expression is displayed by the employee when impersonating the manager?	A serious demeanor.	A. A cheerful smile., B. A mocking tone., C. A frustrated frown., D. A confused look., E. A serious demeanor.	E	Environment Perception
0639	colleague/video_170.mp4	colleague/video_170	0639-4	Which kind of relationship plays a dominant role in this video?	colleague	A. coach-player, B. parent-child, C. friends, D. grandparent-child, E. transactional, F. classmates, G. sibling, H. colleague, I. teacher-student, J. boss-employee, K. caregiver-recipient, L. colleagues, M. sports teammates, N. couple	H	Relation Inference
0640	colleague/video_179.mp4	colleague/video_179	0640-1	Are women very professional?	Yes.	A. Yes., B. No., C. Only in certain fields., D. It depends on the individual., E. They are often underestimated.	A	Attitude Inference
0640	colleague/video_179.mp4	colleague/video_179	0640-2	If the man didn't mention that the kitchen stinks, how would the woman's reaction change?	It would be more professional.	A. It would be more professional., B. She would feel less inclined to comment., C. It would lead to a more heated discussion., D. Her demeanor might become more aggressive., E. She would likely ignore the situation entirely.	A	Counterfactual Prediction
0640	colleague/video_179.mp4	colleague/video_179	0640-3	Which kind of relationship plays a dominant role in this video?	colleague	A. sports teammates, B. service, C. transactional, D. colleague, E. sibling, F. friends, G. classmates, H. caregiver-recipient, I. parent-child, J. grandparent-child, K. colleagues, L. couple, M. boss-employee, N. coach-player	D	Relation Inference
0641	colleague/video_83.mp4	colleague/video_83	0641-1	Why does the first person adjust the thermostat downwards?	Because it is too warm for them.	A. Because they prefer a consistent temperature., B. Because it is too cold in the room., C. Because they want to save on electricity costs., D. Because it is too warm for them., E. Because they are preparing for a colder night.	D	Intent Inference
0641	colleague/video_83.mp4	colleague/video_83	0641-2	What will the people do next?	Continue to adjust the thermostat up and down.	A. Continue to adjust the thermostat up and down., B. Start to rearrange the furniture in the living room., C. Decide to turn on the ceiling fan instead., D. Begin to prepare a large meal for dinner., E. Move outside to enjoy the warm sunshine.	A	Factual Prediction
0641	colleague/video_83.mp4	colleague/video_83	0641-3	What did the woman do after adjusting the thermostat?	She put on her coat.	A. She opened a window., B. She turned up the heat., C. She sat down on the couch., D. She made a cup of tea., E. She put on her coat.	E	Emotion Inference
0641	colleague/video_83.mp4	colleague/video_83	0641-4	Why does the girl in green wear clothes?	Because she is cold.	A. Because she likes the color green., B. Because it's stylish., C. Because she's going to a party., D. Because it's required by school., E. Because she is cold.	E	Intent Inference
0641	colleague/video_83.mp4	colleague/video_83	0641-5	If the people were in a more hierarchical working environment, how might the interaction change?	Everyone might feel empowered to express their opinions freely in meetings.	A. Team members may discuss their needs more openly, creating a collaborative atmosphere., B. The group could engage in more informal conversations during breaks and lunch., C. The decision-making process could become more democratic with everyone's input considered., D. Everyone might feel empowered to express their opinions freely in meetings., E. The person in charge will likely set the temperature to their preference without regard for others.	D	Environment Perception
0642	colleague/video_84.mp4	colleague/video_84	0642-1	Why did Dwight feel more comfortable revealing he was also a double agent?	Andy revealed that he was a double agent.	A. Dwight received a promotion at work., B. Andy revealed that he was a double agent., C. Angela shared her secret about the company merger., D. Michael convinced him to trust the team., E. Pam offered him support during a tough time.	B	Emotion Inference
0643	colleague/video_133.mp4	colleague/video_133	0643-1	Why is the woman on the right speaking?	To share a fact she learned.	A. To express her opinion about the topic., B. To share a fact she learned., C. To entertain the audience with a story., D. To ask a question for clarification., E. To criticize the speaker's previous statement.	B	Intent Inference
0643	colleague/video_133.mp4	colleague/video_133	0643-2	What might the woman on the left do if the woman on the right speaks in a joking tone?	She might get up and leave.	A. She might laugh and join in the joke., B. She might get up and leave., C. She could respond with a serious comment., D. She might ask the woman to stop joking., E. She could remain silent and ignore her.	B	Factual Prediction
0643	colleague/video_133.mp4	colleague/video_133	0643-3	What is the attitude of the woman on the left towards the woman on the right?	She looks down on her.	A. She admires her., B. She feels indifferent towards her., C. She is friendly to her., D. She looks down on her., E. She is envious of her.	D	Attitude Inference
0643	colleague/video_133.mp4	colleague/video_133	0643-4	What is the facial expression of the woman on the left?	Surprised.	A. Joyful., B. Annoyed., C. Pensive., D. Surprised., E. Angry.	D	Facial Expression Recognition
0643	colleague/video_133.mp4	colleague/video_133	0643-5	How would you describe the tone of the woman who is talking?	Formal.	A. Casual., B. Formal., C. Solemn., D. Aggressive., E. Sarcastic.	B	Counterfactual Prediction
0643	colleague/video_133.mp4	colleague/video_133	0643-6	Which kind of relationship plays a dominant role in this video?	colleague	A. grandparent-child, B. parent-child, C. caregiver-recipient, D. transactional, E. teacher-student, F. boss-employee, G. coach-player, H. colleague, I. classmates, J. service, K. sibling, L. sports teammates, M. couple, N. friends	H	Relation Inference
0644	colleague/video_149.mp4	colleague/video_149	0644-1	What was the boss's expression when he looked at them?	Confused and puzzled.	A. Amused and entertained., B. Annoyed and frustrated., C. Disinterested and detached., D. Confused and puzzled., E. Curious and intrigued.	D	Facial Expression Recognition
0644	colleague/video_149.mp4	colleague/video_149	0644-2	What aspect do people focus on when promoting a product?	The convenience the product brings to people	A. The convenience the product brings to people, B. The product's design and appearance, C. The price of the product, D. The brand's reputation, E. The environmental impact of the product	A	Emotion Inference
0644	colleague/video_149.mp4	colleague/video_149	0644-3	Why do the presenters read off of paper and laptop?	They are illustrating a visual aid during the presentation.	A. They are illustrating a visual aid during the presentation., B. They are trying to memorize their lines., C. They need help pitching the ideas., D. They want to avoid eye contact with the audience., E. They are following a strict time limit for each segment.	A	Counterfactual Prediction
0644	colleague/video_149.mp4	colleague/video_149	0644-4	What does the environment suggest about the nature of this interaction?	It is a professional setting.	A. It is a casual gathering., B. It is a social event., C. It is a competitive atmosphere., D. It is a personal meeting., E. It is a professional setting.	E	Action Recognition
0644	colleague/video_149.mp4	colleague/video_149	0644-5	Will the presentation be successful based on the boss' body language?	There are mixed signals from the boss.	A. No., B. Yes, it looks promising., C. There are mixed signals from the boss., D. It's hard to say at this point., E. The signs are encouraging for success.	C	Factual Prediction
0644	colleague/video_149.mp4	colleague/video_149	0644-6	How do the presenters attempt to convey a sense of confidence or authority?	They rely on humor and casual attire.	A. They speak in whispers and avoid eye contact., B. They use overly elaborate language and jargon., C. They stand behind a podium and read from notes., D. They wear sunglasses and hats., E. They rely on humor and casual attire.	E	Factual Prediction
0644	colleague/video_149.mp4	colleague/video_149	0644-7	Why might the presenter be wearing sunglasses during the pitch?	To create a cool, confident image.	A. To prepare for bright lights., B. To follow a fashion trend., C. To create a cool, confident image., D. To protect their eyes from allergens., E. To hide their emotions.	C	Intent Inference
0644	colleague/video_149.mp4	colleague/video_149	0644-8	Which kind of relationship plays a dominant role in this video?	colleague	A. teacher-student, B. boss-employee, C. parent-child, D. friends, E. classmates, F. colleagues, G. sibling, H. service, I. transactional, J. couple, K. grandparent-child, L. sports teammates, M. caregiver-recipient, N. colleague	N	Relation Inference
0645	colleague/video_104.mp4	colleague/video_104	0645-1	Why did the first person look up?	Because he just wanted to yawn.	A. Because he just wanted to yawn., B. Because he was curious about the sky., C. Because he saw something moving above him., D. Because he was trying to avoid the crowd., E. Because someone asked him to look up.	A	Intent Inference
0645	colleague/video_104.mp4	colleague/video_104	0645-2	Is this staged video interesting?	Boring, not interesting.	A. It's quite entertaining., B. It has some interesting moments., C. It's very fun to watch., D. Boring, not interesting., E. It's mildly amusing.	D	Emotion Inference
0645	colleague/video_104.mp4	colleague/video_104	0645-3	What will the individuals likely do immediately after touching their heads?	They will go back to work.	A. They will go back to work., B. They will take a break., C. They will start a conversation., D. They will leave the room., E. They will grab a snack.	A	Factual Prediction
0646	colleague/video_106.mp4	colleague/video_106	0646-1	Why do the people in the video show the note with 'NO' on it?	Because they are not interested in the idea	A. They find the proposal intriguing and want to discuss it further, B. They are confused about the meaning of the note, C. They are excited to participate in the idea, D. They believe the idea has great potential for success, E. Because they are not interested in the idea	E	Intent Inference
0646	colleague/video_106.mp4	colleague/video_106	0646-2	What does the office environment with many people using computers suggest?	A collaborative workspace	A. A collaborative workspace, B. A competitive atmosphere, C. A chaotic setting, D. A silent library, E. A relaxed lounge	A	Environment Perception
0646	colleague/video_106.mp4	colleague/video_106	0646-3	Is it beneficial for these young people to boldly present their ideas?	Yes, it is beneficial; being bold leads to more new thoughts and creativity.	A. No, it can create conflict among peers., B. Yes, but only if the ideas are fully developed., C. No, young people should listen more than talk., D. Yes, it is beneficial; being bold leads to more new thoughts and creativity., E. Yes, but it depends on the context.	D	Emotion Inference
0646	colleague/video_106.mp4	colleague/video_106	0646-4	What is a predominant activity of most of the people featured?	Working at a desk	A. Working at a desk, B. Playing sports outdoors, C. Traveling to new cities, D. Cooking elaborate meals, E. Volunteering at local shelters	A	Factual Prediction
0646	colleague/video_106.mp4	colleague/video_106	0646-5	What object is the person holding in the first scene?	A phone	A. A phone, B. A book, C. A backpack, D. A drink, E. A wallet	A	Factual Prediction
0647	colleague/video_107.mp4	colleague/video_107	0647-1	If the people in the video were clients and a manager, how might the tone of the people differ?	More respectful.	A. Less formal., B. More respectful., C. More aggressive., D. More indifferent., E. Less engaged.	B	Attitude Inference
0647	colleague/video_107.mp4	colleague/video_107	0647-2	What will happen if two women are friends?	They won't argue.	A. They will become best friends., B. They will have disagreements., C. They will stop talking., D. They will compete with each other., E. They won't argue.	E	Factual Prediction
0647	colleague/video_107.mp4	colleague/video_107	0647-3	Can this communication achieve its intended purpose?	There can be no gain whatsoever.	A. It will be highly effective., B. Some understanding may be reached., C. Both parties might benefit significantly., D. There can be no gain whatsoever., E. It could lead to a productive outcome.	D	Emotion Inference
0647	colleague/video_107.mp4	colleague/video_107	0647-4	How would you describe the setting or environment of this gathering?	Office.	A. Park, B. Beach, C. Concert hall, D. Library, E. Office.	E	Counterfactual Prediction
0647	colleague/video_107.mp4	colleague/video_107	0647-5	Why might the person who is standing be leaning over the laptop, pointing at the screen?	To explain something to the others.	A. To adjust the screen brightness., B. To take a selfie with friends., C. To search for a nearby restaurant., D. To troubleshoot a technical issue., E. To explain something to the others.	E	Intent Inference
0647	colleague/video_107.mp4	colleague/video_107	0647-6	How do the two seated people seem in terms of their engagement level when the person is explaining something on the laptop?	Disinterested.	A. Attentive., B. Bored., C. Confused., D. Dismayed., E. Disinterested.	E	Relation Inference
0647	colleague/video_107.mp4	colleague/video_107	0647-7	Why the person on the left raising their voice, saying What is wrong with you?	Due to miscommunication.	A. Due to miscommunication., B. Because they are excited about something., C. They just received some surprising news., D. They are trying to get someone's attention., E. They feel frustrated by a situation.	A	Intent Inference
0648	colleague/video_145.mp4	colleague/video_145	0648-1	What is the facial expression of a girl in a white dress when she is not speaking?	Angry	A. Happy, B. Surprised, C. Sad, D. Confused, E. Angry	E	Facial Expression Recognition
0648	colleague/video_145.mp4	colleague/video_145	0648-2	Why is the girl in the white clothes so angry in the video?	She encountered a colleague acting irrationally.	A. She lost an important document., B. She misunderstood a joke., C. She was late for a meeting., D. She saw someone cheating., E. She encountered a colleague acting irrationally.	E	Relation Inference
